,gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,state,relative_results,Service options,clasificacion,address_depurada,city,county
2604341,0x80c2b87069e72c3d:0x657839387cd376c,Angelino's Pizza,"Angelino's Pizza, 2201 W Washington Blvd, Los Angeles, CA 90018",34.0403996,-118.3092248,"Pizza restaurant, Delivery Restaurant",4.3,143,Closed ⋅ Opens 11AM Wed,"0x80c2b87044eac66d:0xd9a30bcbaddcf00f, 0x80c2b802e56687d9:0x2cdbef429842dbc8, 0x80c2b80fb3baf521:0xbe78e218b4f49463, 0x80c2b872ea471d49:0xaa73419b1b67cb02","Delivery, Takeout",Dining Venue,2201 W Washington Blvd,Los Angeles,Los Angeles
2604344,0x80dd4b96ba6e9aa7:0x62350ced08c36595,Domino's Pizza,"Domino's Pizza, 865 Silver Spur Rd, Rolling Hills Estates, CA 90274",33.7695153,-118.3676979,"Pizza delivery, Delivery Restaurant, Takeout Restaurant, Pizza restaurant, Pizza Takeout",3.8,45,Open ⋅ Closes 12AM,"0x80dd4b955041bb27:0xc09ab319a303aa92, 0x80dd4b90f67e92d9:0x212c86e52e2ca48e, 0x80dd4c5fb240a597:0xdd0213bf0ec43ff2","Curbside pickup, No-contact delivery, Delivery, Takeout",Dining Venue,865 Silver Spur Rd,Rolling Hills Estates,Los Angeles
2604351,0x808199800829cbf1:0x2f28873ea9cb1a0b,Gribaldo's Cafe,"Gribaldo's Cafe, 1551 S Main St, Willits, CA 95490",39.3951194,-123.3485694,Restaurant,3.7,28,None,Sin resultados vinculados,Delivery,Dining Venue,1551 S Main St,Willits,Mendocino
2604379,0x808fb5a17581cd13:0x4c7e39d5e472d897,Chuck E. Cheese,"Chuck E. Cheese, 19805 Stevens Creek Blvd, Cupertino, CA 95014, United States",37.3236364,-122.0192141,"Children's amusement center, American restaurant, Children's party service, Family restaurant, Pizza restaurant, Video arcade",4.1,608,Closed ⋅ Opens 11AM Wed,"0x808fb61f197a9c11:0xa97e9e6a56f5bce4, 0x808fb5a057e762ff:0xa9d6d60cab52cdee, 0x808fc9f7a65d4aaf:0x1a67e5d374a3c9cd, 0x808fb56dd1436633:0x9097a580109b3739",Sin dato,Dining Venue,19805 Stevens Creek Blvd,Cupertino,Santa Clara
2604386,0x808f95b7dcf5ab67:0xee09aed1021019f0,La Chaparrita,"La Chaparrita, 44 W Tennyson Rd, Hayward, CA 94544, United States",37.6338875,-122.0634813,Mexican restaurant,4.3,157,Closed ⋅ Opens 10AM Wed,"0x808f95bae8edb271:0x24087f288e9ef94e, 0x808f95cbcee2aa19:0xd6db32de4e8fd0b3, 0x808f94491eaf5089:0x69a9615dd5112347, 0x808f915f74bf86bb:0x90a8cb0b4825f62b, 0x808f941612a23493:0x5f3de6a373325f1a","Outdoor seating, Curbside pickup, No-contact delivery, Takeaway, Dine-in",Dining Venue,44 W Tennyson Rd,Hayward,Alameda
2604701,0x80c2d4d78a928bc7:0x6776e45fba4827fd,Simply Irresistible,"Simply Irresistible, 2408 W Whittier Blvd, La Habra, CA 90631",33.9393119,-117.9731301,"Bakery, Box lunch supplier, Cake shop, Caterer, Cupcake shop, Dessert shop, Gift basket store, Wedding bakery",4.2,19,Closed ⋅ Opens 11AM Wed,"0x80c2d3bcb882b6d3:0x6ee2dd54475380f5, 0x80dcd5e693856077:0xce6a128b6ee3d448, 0x80c2d4ac1a4f0ed7:0xabb30fbcd9fe8517, 0x80c2d33d31ac49f1:0x8c0f4d4d455f6ebd","Curbside pickup, Delivery, In-store pickup, In-store shopping, Takeout",Bakery Shop,2408 W Whittier Blvd,La Habra,Orange
2604711,0x808f86f48550cd37:0x35e8997a65cfac1d,Bakery El Sol,"Bakery El Sol, 3340 E 12th St #5, Oakland, CA 94601",37.7762971,-122.2241335,"Bakery, Wedding bakery",4.4,37,Closed ⋅ Opens 6AM Wed,"0x808f86f3f7a3a409:0x33c462b11a0d62e0, 0x808f86f4e1c19d81:0x131d30f459af2ce7, 0x80857dc2f2f6a7fd:0x713c68716da58d72, 0x808f86f41d41773d:0x717211cae9b954b1, 0x808f86603605af39:0x39c6efafc616375a","In-store shopping, Takeout, Delivery",Bakery Shop,3340 E 12th St #5,Oakland,Alameda
2605276,0x809b23dd4f5e0507:0x718327ccf5213d0c,Starbucks,"Starbucks, 9045 Woodcreek Oaks Blvd, Roseville, CA 95747",38.794057,-121.330625,"Coffee shop, Cafe, Coffee store, Espresso bar",4.1,34,Closed ⋅ Opens 5AM Wed,"0x809b21d456002eb5:0x6c2b69453caaf4, 0x809b21ee11789e3d:0x9f61e3dddc5262b7, 0x809b221cd0519b53:0x4c548a1416847ac0, 0x809b1f58ba480aad:0x7c12a31734f5ffaa","Outdoor seating, Delivery, Takeout, Dine-in",Café & Coffee,9045 Woodcreek Oaks Blvd,Roseville,Placer
2605561,0x80909509857b383d:0xff77d91455cf7f48,Shiro Ninja Boba - Poke - Ramen Bar,"Shiro Ninja Boba - Poke - Ramen Bar, 244 S Main St, Angels Camp, CA 95222",38.0790899,-120.5559614,Restaurant,4.4,25,Closed ⋅ Opens 10:30AM Wed,Sin resultados vinculados,Takeout,Dining Venue,244 S Main St,Angels Camp,Calaveras
2605905,0x80dd292f29f5e8b3:0x8b3bddd3049e4f4d,Pizza Grande,"Pizza Grande, 7096 Katella Ave, Stanton, CA 90680",33.802198,-118.009031,Pizza restaurant,4.8,53,Closed ⋅ Opens 11AM Wed,"0x80dd292ea19abc7d:0x3b1f314f101b135a, 0x80dd2c20d841b91d:0x4e3ef19f44f25297, 0x80dd2f26df72a3f3:0xc4089f8e72e06d8c, 0x80dd2eb7b8dde0c7:0x95866decf84c3977, 0x80dd2851eba4da8d:0xb48615bd5bcac371","Delivery, Takeout",Dining Venue,7096 Katella Ave,Stanton,Orange
2605907,0x80dceb2b1d2805fd:0x13fa5b9dc26d143c,Il Sole La Nuova Cucina,"Il Sole La Nuova Cucina, 31441 Santa Margarita Pkwy suite m, Rancho Santa Margarita, CA 92688",33.6502125,-117.5829176,Restaurant,4.8,35,Closed ⋅ Opens 11AM Wed,"0x80dcebd5035264e3:0x1c7e25ef82a25bfb, 0x80dceb191c063cff:0x3273ea8482015e19, 0x80dceba7ad01ddc1:0x947e992fbdae3068, 0x80dceb19eacd1287:0x7de953be50e7a7e6","Takeout, Dine-in, Delivery",Dining Venue,31441 Santa Margarita Pkwy suite m,Rancho Santa Margarita,Orange
2605942,0x8085806195e1d9d1:0x8962756d125ff332,Peet's Coffee,"Peet's Coffee, 1, San Francisco, CA 94111",37.793423,-122.39701,"Coffee shop, Cafe, Espresso bar, Tea house",4.3,208,Temporarily closed,"0x80858066b2ae7cad:0xeed98600d1b72f1f, 0x8085806030f38667:0x87ca67242ed11c54, 0x8085808a7f572df7:0xb07ac7bd6d5d6058, 0x808580668e8f3159:0xd3c65a9d505ccfe9","Outdoor seating, Takeout, Delivery",Café & Coffee,1,San Francisco,San Francisco
2605943,0x8085809c6caba547:0x445e17ed3c175eb2,The Market Cafe,"The Market Cafe, 1355 Market St, San Francisco, CA 94103",37.7767,-122.4169606,Cafe,4.3,28,Closed ⋅ Opens 8:30AM Wed,"0x80858113fb3ebc7f:0xa2727bce4154df22, 0x8085809cb6634f8d:0x93753b3b4b33b3ff","Delivery, Takeout",Café & Coffee,1355 Market St,San Francisco,San Francisco
2606321,0x80dcd1dbcff04cd9:0x9b3a21325f1dbb3e,Costco Food Court,"Costco Food Court, 22633 Savi Ranch Pkwy, Yorba Linda, CA 92887",33.8756258,-117.7442893,"Food court, Takeout Restaurant",4.5,64,Closed ⋅ Opens 10AM Wed,"0x80dcd1da7b1ba833:0xdd9ca3595b6e853b, 0x80dcd1da63cac69d:0x790069c87d775f34, 0x80dcce27fb50af8f:0xad47bdfc45717938, 0x80dcd1d79ff21aaf:0x71075601d8ea759e, 0x80dcd1da71f26905:0x9c8680c43038ea4d","Takeout, Dine-in, Delivery",Dining Venue,22633 Savi Ranch Pkwy,Yorba Linda,Orange
2606753,0x808e402ad2f87e43:0x7453af2d166333b8,Golden City Chinese Restaurant,"Golden City Chinese Restaurant, 1230 Mission St, Santa Cruz, CA 95060",36.9688917,-122.0380417,"Chinese restaurant, Restaurant",4.2,115,Closed ⋅ Opens 11:30AM Wed,"0x808e402f4e11e29f:0x20f3cf1029ae9754, 0x808e40208bfaaaab:0x8f068718c759fea0, 0x808e6a9ce5170101:0xf374c8dbc311b403, 0x808e4030f9749301:0xfa816c089902aaa2, 0x808e6a79b89499d7:0xa02b3342826dacc1","Delivery, Takeout, Dine-in",Dining Venue,1230 Mission St,Santa Cruz,Santa Cruz
2606755,0x80c2cf0c6ea782e3:0x9eef4e6ba73be930,Tejuinos Rivera,"Tejuinos Rivera, 4727 Whittier Blvd, Los Angeles, CA 90022",34.0223864,-118.1660174,"Juice shop, Restaurant",4.0,76,Closed ⋅ Opens 8AM Wed,"0x80c2d19da0055245:0xed373fd29a6bef79, 0x80c2cbe0bea5bf61:0xfa56fa2806b317d9, 0x80c2c67da341bb91:0xe638c07e26a1c575, 0x80c2d0d1bb0a2293:0x5d6eb00a725c9825, 0x80c2c5d5c0e1f65b:0xcf4e37e8d9948b68","Delivery, Takeout",Dining Venue,4727 Whittier Blvd,Los Angeles,Los Angeles
2606897,0x80dcae4755b9cca5:0x2e8610b401a67676,Carl's Jr.,"Carl's Jr., 1250 University Ave, Riverside, CA 92507, United States",33.9752375,-117.3388387,"Fast food restaurant, Hamburger restaurant",3.8,508,Open 24 hours,"0x80dcae38a92022b3:0x3f8a592ed1454e8f, 0x80dcae14540315cf:0xe517922b40da7ee0, 0x80dcae151e4349cb:0x2f01f7ec2e4cd9e2, 0x80dcae0d61b10eaf:0xeaac54451d14e2e3, 0x80dcae21d727ff8d:0x5a54cc77f8c00e2f","Delivery, Drive-through, Takeaway, Dine-in",Dining Venue,1250 University Ave,Riverside,Riverside
2607114,0x808fc976705dce27:0x9705700d91565816,Piatti,"Piatti, 3905 Rivermark Plaza, Santa Clara, CA 95054, United States",37.3942925,-121.9451938,Italian restaurant,4.2,775,Closed ⋅ Opens 11AM Wed,"0x808fca52c000f0fd:0xb11719e76e7df703, 0x808fcca1d2bf0d31:0x6828a335733d66d5, 0x808fcbb22c080913:0xfb8c1ea54f8823f2, 0x808fc9dd79f57081:0xc8e852cf978ea470, 0x808fcadfd0533ecf:0x4062d275f2596b70","Outdoor seating, Curbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in",Dining Venue,3905 Rivermark Plaza,Santa Clara,Santa Clara
2607115,0x80db7f0feb1d4d17:0x608de8c3955ea22c,Small Barn Old Town,"Small Barn Old Town, 28535 Old Town Front St, Temecula, CA 92590",33.4945161,-117.1505333,Restaurant,4.5,86,Closed ⋅ Opens 4PM Wed,Sin resultados vinculados,"Outdoor seating, Curbside pickup, Takeout, Dine-in, Delivery",Dining Venue,28535 Old Town Front St,Temecula,Riverside
2607207,0x80dd327461d54647:0x80fdd6a415e2ea94,Wienerschnitzel,"Wienerschnitzel, 4111 Woodruff Ave, Lakewood, CA 90713, United States",33.8329977,-118.1168714,"Fast food restaurant, American restaurant, Hot dog restaurant, Ice cream shop",4.2,342,Open ⋅ Closes 11PM,"0x80dd2de7e322a4ad:0x596508c064767c15, 0x80dd32790dff14c1:0x9182ff5de8ed8e6e, 0x80dd3281640ec7f1:0x1412920c22bc3fbc, 0x80dd32f39e6c7211:0x932760dd4e551048, 0x80dd3279430b737f:0xe3c0cece1a3a18cd","Outdoor seating, Delivery, Drive-through, Takeaway",Dining Venue,4111 Woodruff Ave,Lakewood,Los Angeles
2607213,0x80dd2d7f3e4bbda3:0xf9ec7c492bd5f225,BurgerIM,"BurgerIM, 14133 Pioneer Blvd, Norwalk, CA 90650, United States",33.9023773,-118.0828447,Restaurant,4.2,48,Closed ⋅ Opens 11AM Wed,Sin resultados vinculados,"Delivery, Takeaway, Dine-in",Dining Venue,14133 Pioneer Blvd,Norwalk,Los Angeles
2607234,0x80c2b9cd8bc8fe2d:0xf3ada617471b898d,Krack N Krab,"Krack N Krab, 222 N Western Ave, Los Angeles, CA 90004",34.0756517,-118.3089113,Restaurant,4.8,28,Open ⋅ Closes 10:30PM,Sin resultados vinculados,"Outdoor seating, Curbside pickup, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,222 N Western Ave,Los Angeles,Los Angeles
2607478,0x808de1bf9862b637:0x3742e6971491bc46,Lucy's on Lighthouse,"Lucy's on Lighthouse, 1120 Lighthouse Ave, Pacific Grove, CA 93950",36.6297139,-121.930621,"Restaurant, Beer garden, Espresso bar, Hot dog stand",4.6,78,Closed ⋅ Opens 11AM Fri,Sin resultados vinculados,"Outdoor seating, Curbside pickup, Delivery, Takeout, Dine-in",Dining Venue,1120 Lighthouse Ave,Pacific Grove,Monterey
2607693,0x80945b9d6dc333a7:0xd719c07324636ad1,Bullard Donut and Bakery,"Bullard Donut and Bakery, 1779 Bullard Ave. #1330, Clovis, CA 93611",36.8234068,-119.6824957,"Cafe, Bakery",4.7,88,Closed ⋅ Opens 4:30AM Wed,"0x80945b6f869701ed:0xf0fa5da3bd3eda29, 0x80945c776a6e01f9:0xe6361387d33baf31, 0x80945b9303a89621:0x140c5f4309a4c5a8, 0x80945c5b2ccc9dbf:0xbfe94307e53ae0f7, 0x80945d285dc3c92f:0x3127b6102cf0ca5e","Takeout, Delivery, Dine-in",Café & Coffee,1779 Bullard Ave. #1330,Clovis,Fresno
2607825,0x80857de82ea86dc7:0x205107e7c902f3f0,Rockridge Cafe,"Rockridge Cafe, 5492 College Ave, Oakland, CA 94618, United States",37.8423174,-122.2514531,"Restaurant, Breakfast restaurant, Cafe, Hamburger restaurant",4.3,328,Closed ⋅ Opens 8AM Wed,"0x80857dc28928ab17:0x1ccfb0b5123d06be, 0x80857df7725f2439:0x90c7dff68c370377, 0x808f87853685091b:0xd64fb2d6d2c5ab01, 0x80857de261216825:0xb81ef5f34a63df21","Outdoor seating, Delivery, Takeaway, Dine-in",Dining Venue,5492 College Ave,Oakland,Alameda
2607963,0x80d9553d425e5c1b:0x1a494759b9b6aace,California Fish Grill,"California Fish Grill, 1530 Camino De La Reina Suite A, San Diego, CA 92108, United States",32.7703472,-117.1511599,Seafood restaurant,4.6,1058,Open ⋅ Closes 9PM,"0x80d9569750e877e5:0xe5b87eaa3f1bfc9c, 0x80dc0190168f08cb:0x61ef95b325f2e5e3, 0x80dbffb4c1a5f823:0x3ba7456ad90dec7a, 0x80d9551a750746ef:0x50fae0ca5e73f591","Outdoor seating, Curbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in",Dining Venue,1530 Camino De La Reina Suite A,San Diego,San Diego
2607972,0x80dc01c06f7e9d7b:0xa5ebe2ac17559267,Mister Sushi,"Mister Sushi, 1535 Garnet Ave, San Diego, CA 92109, United States",32.7993649,-117.241867,"Sushi restaurant, Asian restaurant, Japanese restaurant, Restaurant, Seafood restaurant",4.7,147,Open ⋅ Closes 10PM,"0x80dc01eb3bac017f:0x803426bb7a102e80, 0x80dc01eb51809223:0x3073da03b2f09dd6, 0x80dc01b542b3168d:0x2596f9dc39771dba, 0x80dc01c01b003867:0x89d3af061f3f2bea, 0x80dc01ed44d3b973:0x2458f9a481e857b8","Curbside pickup, Takeaway, Delivery",Dining Venue,1535 Garnet Ave,San Diego,San Diego
2608200,0x809ad0c22ed6c3ff:0x6e86fa1381ca80f0,Tres Hermanas,"Tres Hermanas, 2416 K St, Sacramento, CA 95816, United States",38.573873,-121.474514,Restaurant,4.4,1985,Closes soon ⋅ 8PM ⋅ Opens 11AM Wed,"0x809ad192d48056f5:0xeabb9023ee258dd2, 0x809ad0db014df837:0x9a374a80852d02ab, 0x809ad0d7d68211f3:0x5d4a27675de40311, 0x809ad0c0199bd98b:0xab12bf14a98192bf, 0x809ad0dcc23f6d19:0x5fb5f550bb556776","Outdoor seating, Curbside pickup, Takeaway, Dine-in, Delivery",Dining Venue,2416 K St,Sacramento,Sacramento
2608221,0x80910da0100306e5:0xfca4f3170a709c08,Starbucks,"Starbucks, 453 Joseph Gallo Ct, Livingston, CA 95334, United States",37.388819,-120.735838,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.2,608,Open ⋅ Closes 9:30PM,"0x80910da074e89dcb:0x59337d03d040cd40, 0x80910d0a9f11c7a3:0x327bb05c538ff357, 0x80910da00965641d:0x18b0dd89a4d8d49, 0x80910da001207107:0x114ec2a699b9ea8d, 0x80910d0a9a46f465:0x746a43a834b318e5","Outdoor seating, Delivery, Takeaway, Dine-in",Dining Venue,453 Joseph Gallo Ct,Livingston,Merced
2608441,0x80dd317397cc5871:0x4077aa65070b669b,Jack in the Box,"Jack in the Box, 2101 E Anaheim St, Long Beach, CA 90804, United States",33.7828603,-118.1664214,"Fast food restaurant, Breakfast restaurant, Chicken restaurant, Hamburger restaurant",4.0,646,Open ⋅ Closes 1AM,"0x80dd319a390ca79b:0x58188daa73ea2ffa, 0x80dd317a6414976d:0xa5fe92dd1d9420ad, 0x80dd31473ac796d7:0x2691789fce1d8bc8, 0x80dd317573a7aedd:0xb206caeccc7004ab, 0x80dd319c5e32dcf7:0xbee33260679452fa","No-contact delivery, Delivery, Drive-through, Takeaway",Dining Venue,2101 E Anaheim St,Long Beach,Los Angeles
2608466,0x809022a6341cb29b:0x1e7e54590df9c9de,Dhaba Indian Cuisine,"Dhaba Indian Cuisine, 2242 W Grant Line Rd #101, Tracy, CA 95377, United States",37.7533749,-121.4578833,"Indian restaurant, Restaurant, Vegetarian restaurant",4.2,478,Open ⋅ Closes 9:30PM,"0x80903cc5f9525a07:0xa443e0e294aa5910, 0x809041fac510432b:0x809b3664d9803f06","Outdoor seating, Curbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in",Dining Venue,2242 W Grant Line Rd #101,Tracy,San Joaquin
2608468,0x80903d577012e55f:0xbb24be4d5ceb026c,Straw Hat Pizza,"Straw Hat Pizza, 3228 N Tracy Blvd, Tracy, CA 95376, United States",37.7598758,-121.4341601,"Pizza restaurant, Takeout restaurant, Pizza delivery",4.1,124,Open ⋅ Closes 10PM,"0x80903d574619e8e5:0x500d84fde9a5344, 0x80903d5787c78019:0x626daceb1493801c, 0x8090180baade9135:0xb3b3dd8c6835e592, 0x809022a7ca9b3f1d:0x839d09db5c6f274c, 0x80903d3746e0cf3d:0x97c9c2fc1a6af7e1","No-contact delivery, Delivery, Takeaway",Dining Venue,3228 N Tracy Blvd,Tracy,San Joaquin
2608658,0x80946755bd2019c3:0xe0d18870ec468997,McDonald's,"McDonald's, 1248 N Blackstone Ave, Fresno, CA 93703, United States",36.7586769,-119.7901408,"Fast food restaurant, Breakfast restaurant, Coffee shop, Hamburger restaurant, Restaurant, Sandwich shop",3.6,1185,Open ⋅ Closes 11PM,"0x809467582735e373:0xf384433b2f2da327, 0x80946758e9d11e4f:0x72b94cd89fd17895, 0x80945ddc26f19435:0xc4402a73d7778c66, 0x80945e45df00a77b:0xcf5a9f26a0f2997f","Curbside pickup, No-contact delivery, Delivery, Drive-through, Takeaway, Dine-in",Dining Venue,1248 N Blackstone Ave,Fresno,Fresno
2608916,0x80c2bbf804a8768f:0x5b59fe81260b9a16,Ferrarini Cafe,"Ferrarini Cafe, 9622 Brighton Way, Beverly Hills, CA 90210",34.0681731,-118.4042069,Cafe,4.5,58,Closed ⋅ Opens 8AM Wed,"0x80c2bbf805751d37:0xa38e4e52b9d3d91a, 0x80c2bc07a0abdaf3:0x560a0731525dfb35, 0x80c2bdd36f35135d:0xd1d6dc50ef9dcbb2, 0x80c2bbf7fb4af1e9:0x5d213e17aa621072, 0x80c2bbf949c384f5:0xd295ffe690886d96","Outdoor seating, No-contact delivery, Delivery, Takeout, Dine-in",Café & Coffee,9622 Brighton Way,Beverly Hills,Los Angeles
2608987,0x80ea5706ab8d2507:0x6d5f9d56d3891eed,Little Caesars Pizza,"Little Caesars Pizza, 701 Central Valley Hwy, Shafter, CA 93263",35.500797,-119.27241,"Pizza restaurant, American restaurant, Chicken wings restaurant, Fast food restaurant, Pizza delivery, Pizza Takeout",3.4,138,Open ⋅ Closes 11PM,"0x80ea57aae2362feb:0x8fb06ecf0497a8f, 0x80ea5701a3a77bf9:0x40400bc8c2fc3684, 0x80ea57aad2cd1721:0x6e8613f39bf645cc, 0x80eafeaf7620a117:0x345ec4950e60de0c, 0x80ea570445a42503:0x62b295333e68c394","Delivery, Drive-through, Takeout, Dine-in",Dining Venue,701 Central Valley Hwy,Shafter,Kern
2609065,0x80e84e1037168167:0x23ca2b4e2835c668,GNC,"GNC, 679 W Channel Islands Blvd, Port Hueneme, CA 93041",34.1765956,-119.2178604,"Vitamin & supplements store, Health food store",4.0,18,Open ⋅ Closes 8PM,"0x80e84d546eb49bf3:0x4c0abff9230c07b5, 0x80e84c5a49639b35:0x75e508858ed70c73, 0x80e84e11f523a635:0x9a59f9c1e7ce6b42, 0x80e84f4808ddea53:0x8959bac1e2c798a0","In-store shopping, Delivery",Health Foods,679 W Channel Islands Blvd,Port Hueneme,Ventura
2609076,0x80c360dc733637b5:0xaaedcb7e9be719cd,GNC,"GNC, 18975 Bear Valley Rd, Apple Valley, CA 92308",34.4686859,-117.2495359,"Vitamin & supplements store, Health food store",4.3,48,Open ⋅ Closes 8PM,"0x80c3662276a3ffeb:0x4e6524ab37b09532, 0x80c361cf843330d9:0x722efd5629d2f97, 0x80c360e72efcf29b:0x3cc97204e83a03fd, 0x80c36872998fb56d:0x18cdc24ccd27f212","In-store pickup, In-store shopping, Delivery",Health Foods,18975 Bear Valley Rd,Apple Valley,San Bernardino
2609249,0x80c32d927de98995:0xce4dc70d895571d4,20/20 Bar & Grill,"20/20 Bar & Grill, 135 E 2nd St, Pomona, CA 91766",34.0579838,-117.7498139,"Bar & grill, Mexican restaurant, Sushi restaurant",3.6,118,Temporarily closed,"0x80c32de53483ef59:0x3239c7a1a0fafa46, 0x80c32de534bc588f:0x65cca1ccfd71ae62, 0x80c32de5162f3415:0x1bf44a215f67430b, 0x80c32de544ff95a1:0x61d0b24f9012c681, 0x80c2cd98161d4fcd:0xfa26ea1a218fb7ca","Outdoor seating, Takeout",Dining Venue,135 E 2nd St,Pomona,Los Angeles
2609533,0x809ac56fa4e33517:0x7e5d76b14f7f8976,The Boiling Crab,"The Boiling Crab, 6910 65th St #100, Sacramento, CA 95823, United States",38.5007609,-121.4324209,Seafood restaurant,4.4,1767,Open ⋅ Closes 10PM,"0x809ac56e74b37741:0xaf3e80ce5029da55, 0x809ac5c0c60eff91:0x47bb512ce595a671, 0x809ac56878ec52bf:0x76fd381b6f0921d8, 0x809ac56f03ce634f:0xf15c28cab5a28b7e, 0x809ac59412712593:0xcf35ad647cc9d5d2","Takeaway, Dine-in, Delivery",Dining Venue,6910 65th St #100,Sacramento,Sacramento
2609578,0x808e34df1138295d:0xef39b8d601349874,Sushi Confidential,"Sushi Confidential, 247 E Campbell Ave, Campbell, CA 95008, United States",37.28722,-121.9454001,"Sushi restaurant, Asian fusion restaurant, Bar, Restaurant",4.1,1015,Open ⋅ Closes 9PM,"0x808e34d9d4aa07b9:0xef260ca9caeef874, 0x808e34c262a4d103:0xfaa507ae2893cb3f, 0x808e34f0e11ef2fb:0x363c82e4ff8512e, 0x808e353386f49d21:0xff390ba7c8ebd086","Outdoor seating, Curbside pickup, Delivery, Takeaway, Dine-in",Dining Venue,247 E Campbell Ave,Campbell,Santa Clara
2609579,0x808e3520a06ab2fb:0xcff27dcc95196da1,Stacks Campbell,"Stacks Campbell, 139 E Campbell Ave, Campbell, CA 95008, United States",37.287217,-121.9474604,"Breakfast restaurant, American restaurant, Brunch restaurant, Diner, Lunch restaurant, Restaurant",4.3,1127,Closed ⋅ Opens 7AM Wed,"0x808e34df017a604d:0x5237cdabeed64815, 0x808e353477057175:0xb2a00804e329898e, 0x808fcad6fd3a4db1:0xa01f3a3627537ef3, 0x808e34bd367e81bf:0x3d1b25ca8f1d31aa, 0x808e34de602ed64d:0x1291796a0e89a2ba","Outdoor seating, Curbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in",Dining Venue,139 E Campbell Ave,Campbell,Santa Clara
2609583,0x808fc9050afaa577:0x28a26458754a4c0c,Faz Restaurants & Catering - San Jose,"Faz Restaurants & Catering - San Jose, 181 E Tasman Dr, San Jose, CA 95134, United States",37.4125523,-121.9382886,Mediterranean restaurant,4.1,553,Open ⋅ Closes 8PM,"0x808fc9acb6035371:0x28ece4ce688de6de, 0x808fc907c66c9219:0xcdd25b1821cc2b48, 0x808fcca2f1932337:0xc32bc72079ebcb27, 0x808fc907a2a345cf:0xc0a6f27df1a5df2b, 0x808e34bcd6b3c035:0xf1168e488f7655bf","Outdoor seating, Curbside pickup, Delivery, Takeaway, Dine-in",Dining Venue,181 E Tasman Dr,San Jose,Santa Clara
2609585,0x808580b9c8e6d781:0xc66d155748e1a74b,Jane The Bakery,"Jane The Bakery, 1881 Geary Blvd, San Francisco, CA 94115, United States",37.7837438,-122.4342764,Bakery,4.7,608,Closed ⋅ Opens 7AM Wed,"0x808580b02e681cb5:0xdc3bd5a16368ad5f, 0x808580c7c0285017:0xc621c331d4ebaaf1, 0x808f7e1807365605:0x601f7a97f0ce6c6b, 0x808580c961a0d5e7:0xea755410f0b98bb, 0x808580af3b01fb15:0xcf61b86ddd6ddd49","In-store pick-up, In-store shopping, Takeaway, Delivery",Bakery Shop,1881 Geary Blvd,San Francisco,San Francisco
2609601,0x808f7768bdf220af:0x42bdfe290e3fbe9e,Valencia Street Station,"Valencia Street Station, San Francisco International Airport International Terminal Boarding Area A near, Gate A10 / A12, San Francisco, CA 94128, United States",37.6119829,-122.3900151,Sandwich shop,2.5,34,None,"0x808f77908c4c7993:0x1f46785ed04e67dc, 0x808f7784d101dd87:0x50990e34d1bfe2f7, 0x808f779182f83855:0x9b8bd8db3b653f6c, 0x808f779404f393d1:0x8b20c05332fa0054, 0x808f779a98521f95:0x4d85e1f38f5c0188","Takeaway, Dine-in, Delivery",Sandwich Bar,"San Francisco International Airport International Terminal Boarding Area A near, Gate A10 / A12",San Francisco,San Francisco
2609627,0x808dff123176f021:0xfcfc84b8d52ff1b9,Buffalo Wild Wings,"Buffalo Wild Wings, 1988 N Main St, Salinas, CA 93906, United States",36.7210735,-121.6557265,"Chicken wings restaurant, American restaurant, Bar & grill, Takeout restaurant, Restaurant, Sports bar",3.9,776,Open ⋅ Closes 11PM,"0x809207538fd72c11:0x91d29635d0a69861, 0x808dff2433dcf2a1:0xa8877395e1dfbbce, 0x808dff145e1a1bb7:0x3ebb040198d28721, 0x808dff04b98ea829:0x14b46d3ce5af09f3","Outdoor seating, Curbside pickup, Delivery, Takeaway, Dine-in",Dining Venue,1988 N Main St,Salinas,Monterey
2610012,0x808f792bffffffff:0x94d6e1c54b83c988,Daisy's Taqueria,"Daisy's Taqueria, 142 Old County Rd, Brisbane, CA 94005",37.6858039,-122.399777,Mexican restaurant,4.4,26,Closed ⋅ Opens 10AM Wed,"0x808f792045452cb7:0x482fcc873787e170, 0x808f79073ca8308f:0xfb1f729fe7c6207, 0x808f79a9090643d7:0x3135670f98e3bba8, 0x808f7ed9a005079d:0xed26d1cbd202082e, 0x808f79205ad3bb01:0xe7d8526496affcc","Takeout, Dine-in",Dining Venue,142 Old County Rd,Brisbane,San Mateo
